date,CUSR0000SA0,CUSR0000SA0L1E,CUSR0000SETB01
2019-01-01,252.561,260.766,208.730
2019-02-01,253.319,261.186,217.237
2019-03-01,254.277,261.567,230.013
2019-04-01,255.233,261.997,245.651
2019-05-01,255.296,262.217,242.557
2019-06-01,255.213,262.739,231.691
2019-07-01,255.802,263.280,235.098
2019-08-01,256.036,263.877,229.734
2019-09-01,256.430,264.388,228.230
2019-10-01,257.155,264.970,232.348
2019-11-01,257.879,265.548,236.924
2019-12-01,258.630,266.020,244.197
2020-01-01,258.906,266.698,236.879
2020-02-01,259.246,267.402,229.731
2020-03-01,258.150,267.068,206.071
2020-04-01,256.126,265.796,166.640
2020-05-01,255.848,265.461,160.740
2020-06-01,257.004,265.839,177.312
2020-07-01,258.408,267.373,186.943
2020-08-01,259.366,268.390,190.490
2020-09-01,259.951,268.900,192.669
2020-10-01,260.249,269.280,190.486
2020-11-01,260.895,269.967,191.456
2020-12-01,262.005,270.340,207.640
2021-01-01,262.518,270.422,217.944
2021-02-01,263.583,270.813,233.448
2021-03-01,264.910,271.461,251.459
2021-04-01,266.752,273.665,249.270
2021-05-01,268.452,275.494,251.062
2021-06-01,270.664,277.585,257.683
2021-07-01,271.994,278.612,263.835
2021-08-01,272.789,278.993,270.649
2021-09-01,273.887,279.710,273.321
2021-10-01,276.434,281.623,284.966
2021-11-01,278.799,283.393,302.783
2021-12-01,280.808,285.221,312.089
2022-01-01,282.390,286.811,307.114
2022-02-01,284.535,288.287,322.941
2022-03-01,287.553,289.041,370.978
2022-04-01,288.764,290.515,358.023
2022-05-01,291.359,292.072,373.180
2022-06-01,294.996,293.972,411.984
2022-07-01,294.977,295.055,378.082
2022-08-01,295.209,296.569,339.037
2022-09-01,296.341,298.284,322.713
2022-10-01,297.863,299.351,335.141
2022-11-01,298.648,300.292,333.999
2022-12-01,298.812,301.423,308.222
2023-01-01,300.356,302.709,313.215
2023-02-01,301.509,304.124,316.804
2023-03-01,301.744,305.112,305.708
2023-04-01,303.032,306.539,314.286
2023-05-01,303.365,307.646,300.042
2023-06-01,304.003,308.245,302.412
2023-07-01,304.628,308.945,301.784
2023-08-01,306.187,309.656,326.825
2023-09-01,307.288,310.644,332.019
2023-10-01,307.531,311.390,317.678
2023-11-01,308.024,312.349,304.982
2023-12-01,308.742,313.209,303.242
2024-01-01,309.685,314.438,293.287
2024-02-01,311.054,315.565,304.302
2024-03-01,312.230,316.698,309.587
2024-04-01,313.207,317.622,318.186
2024-05-01,313.225,318.140,306.599
2024-06-01,313.049,318.346,294.968
